                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1814,                 1.4079,                 1.2137,                0.64349,                0.54907,                0.62514,                0.46233,                 1.0817,                 1.0999,                  1.123,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1288,                 1.3171,                 1.2345,                0.65297,                0.56061,                0.64373,                0.47948,                 1.0742,                 1.0562,                 1.1132,               0.086005,               0.001005,               0.001005
                      2,                 1.1682,                 1.3474,                 1.2293,                0.68206,                0.57051,                0.66095,                0.48891,                 1.0653,                 1.0429,                 1.1084,               0.077782,               0.000782,               0.000782
