                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75059,                 1.4593,                 1.0154,                0.78416,                0.85591,                0.89825,                0.74486,                0.60924,                 1.3734,                 1.0066,               0.008878,               0.008878,               0.008878
                     36,                0.74867,                  1.777,                 1.0497,                0.80198,                0.92735,                0.86432,                0.71516,                0.70537,                 1.3314,                 1.1185,               0.008845,               0.008845,               0.008845
                     37,                0.68895,                 1.5188,                 1.0752,                 0.8653,                0.91179,                0.89579,                0.75312,                 0.6517,                 1.1718,                 1.0293,               0.008812,               0.008812,               0.008812
                     38,                0.67538,                 1.3139,                0.96631,                 0.6926,                 0.9583,                0.90815,                0.77527,                 0.5792,                 1.1431,                0.99001,               0.008779,               0.008779,               0.008779
                     39,                0.80627,                 1.4938,                0.99599,                0.67867,                0.90023,                0.86199,                0.71614,                0.70058,                 1.3225,                 1.0982,               0.008746,               0.008746,               0.008746
                     40,                0.65341,                 1.2245,                0.98167,                0.78016,                0.90536,                0.87192,                 0.7334,                 0.5886,                 1.1233,                 1.0016,               0.008713,               0.008713,               0.008713
                     41,                0.64352,                 1.2044,                0.95699,                 0.7915,                0.82437,                 0.8953,                0.76167,                0.60347,                 1.1072,                0.99095,                0.00868,                0.00868,                0.00868
                     42,                0.82542,                 1.5955,                 1.0999,                0.75671,                0.80473,                0.86617,                0.71733,                0.63733,                 1.2027,                 1.0173,               0.008647,               0.008647,               0.008647
                     43,                0.64231,                 1.4189,                0.98623,                0.70909,                0.68443,                0.76782,                0.64424,                0.67546,                 1.4619,                 1.1501,               0.008614,               0.008614,               0.008614
                     44,                0.65494,                 1.2693,                 1.0079,                 0.7157,                0.72743,                0.74457,                0.63141,                0.68771,                 2.0213,                 1.1134,               0.008581,               0.008581,               0.008581
                     45,                0.63089,                 1.2941,                0.98103,                0.81156,                0.88254,                0.91099,                0.77048,                0.76123,                 1.2949,                 1.1921,               0.008548,               0.008548,               0.008548
                     46,                0.65208,                 1.3784,                0.96048,                0.79763,                0.82335,                0.84664,                0.72931,                0.69807,                 1.5861,                 1.0675,               0.008515,               0.008515,               0.008515
                     47,                0.66513,                 1.4123,                0.99708,                0.72106,                0.83786,                0.87113,                0.73189,                0.68315,                  1.391,                 1.0727,               0.008482,               0.008482,               0.008482
                     48,                0.72448,                 1.3895,                0.95133,                0.72278,                0.83722,                0.84459,                0.72959,                0.64793,                 1.5366,                 1.0494,               0.008449,               0.008449,               0.008449
                     49,                0.61025,                  1.163,                0.96379,                0.80187,                0.87821,                0.84805,                0.70002,                0.66629,                 1.5419,                 1.0299,               0.008416,               0.008416,               0.008416
                     50,                0.63591,                 1.2384,                0.97908,                0.77052,                0.93281,                0.88717,                0.74833,                0.62651,                 1.3902,                 1.0385,               0.008383,               0.008383,               0.008383
                     51,                0.70962,                 1.3793,                 1.0287,                0.80535,                0.97106,                0.89956,                0.76832,                0.59252,                 1.0471,                 1.0192,                0.00835,                0.00835,                0.00835
                     52,                   0.68,                 1.3156,                0.99354,                0.83596,                0.98762,                0.92099,                0.80285,                0.54014,                 1.0018,                0.95264,               0.008317,               0.008317,               0.008317
                     53,                0.64669,                 1.2165,                0.97553,                0.78361,                0.98199,                0.91132,                0.78163,                0.55944,                 0.9432,                0.97291,               0.008284,               0.008284,               0.008284
                     54,                0.66679,                 1.1786,                0.95986,                0.80038,                0.92857,                 0.9076,                0.78045,                0.56333,                 1.0417,                0.97176,               0.008251,               0.008251,               0.008251
                     55,                 0.7319,                 1.2896,                0.99416,                0.76759,                0.87859,                 0.8764,                0.73679,                0.61229,                 1.3076,                 1.0161,               0.008218,               0.008218,               0.008218
                     56,                0.64293,                 1.2265,                 1.0267,                0.80779,                0.95165,                 0.9056,                0.77196,                0.62616,                 1.1508,                 1.0328,               0.008185,               0.008185,               0.008185
                     57,                0.69054,                 1.1313,                0.96319,                0.80218,                0.93848,                  0.915,                0.78759,                0.58055,                 1.0305,                 1.0015,               0.008152,               0.008152,               0.008152
                     58,                0.62756,                 1.1205,                0.94677,                0.85945,                0.85653,                0.92482,                0.78996,                0.61618,                 1.0254,                 1.0239,               0.008119,               0.008119,               0.008119
                     59,                0.68393,                 1.1577,                  1.036,                0.79166,                  0.895,                0.92694,                0.79934,                0.57355,                 1.0983,                0.99402,               0.008086,               0.008086,               0.008086
                     60,                0.70446,                 1.1215,                0.95885,                0.80909,                 0.9548,                0.93556,                 0.8155,                0.53742,                 1.0182,                0.94327,               0.008053,               0.008053,               0.008053
